"filename", "language", "CSS", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\ReaderFormLight\styles.css", "CSS", 69, 0, 0, 1, 15, 85
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\ReaderForm\index.js", "JavaScript", 0, 157, 0, 15, 41, 213
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\ReaderForm\styles.css", "CSS", 245, 0, 0, 1, 36, 282
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\ReaderNavButtons\index.js", "JavaScript", 0, 100, 0, 3, 22, 125
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\ReaderNavButtons\styles.css", "CSS", 95, 0, 0, 1, 17, 113
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\ReaderText\index.js", "JavaScript", 0, 84, 0, 3, 30, 117
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\ReaderText\styles.css", "CSS", 101, 0, 0, 2, 31, 134
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\Reader\index.js", "JavaScript", 0, 57, 0, 3, 20, 80
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\Reader\styles.css", "CSS", 101, 0, 0, 3, 23, 127
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\ResearchFrame\index.js", "JavaScript", 0, 84, 0, 5, 26, 115
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\ResearchFrame\styles.css", "CSS", 28, 0, 0, 2, 8, 38
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\ResultPane\index.js", "JavaScript", 0, 46, 0, 2, 16, 64
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\ResultPane\styles.css", "CSS", 81, 0, 0, 2, 16, 99
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\ResultsUpdate\index.js", "JavaScript", 0, 49, 0, 2, 23, 74
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\ResultsUpdate\styles.css", "CSS", 27, 0, 0, 0, 6, 33
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\SearchPane\index.js", "JavaScript", 0, 44, 0, 2, 15, 61
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\SearchPane\styles.css", "CSS", 99, 0, 0, 1, 17, 117
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\TableOfContentIcon\index.js", "JavaScript", 0, 21, 0, 2, 6, 29
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\TableOfContentIcon\styles.css", "CSS", 56, 0, 0, 0, 7, 63
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\TableOfContentsSlide\index.js", "JavaScript", 0, 44, 0, 7, 19, 70
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\TableOfContentsSlide\styles.css", "CSS", 53, 0, 0, 2, 7, 62
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\TableOfContentsStatic\globalstyles.css", "CSS", 43, 0, 0, 1, 7, 51
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\TableOfContentsStatic\index.js", "JavaScript", 0, 31, 0, 5, 13, 49
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\TableOfContentsStatic\styles.css", "CSS", 5, 0, 0, 0, 0, 5
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\Veil\index.js", "JavaScript", 0, 21, 0, 1, 5, 27
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\Veil\styles.css", "CSS", 24, 0, 0, 0, 3, 27
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\VerseText\index.js", "JavaScript", 0, 22, 0, 2, 10, 34
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\VerseText\styles.css", "CSS", 3, 0, 0, 2, 1, 6
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\Verse\index.js", "JavaScript", 0, 34, 0, 4, 15, 53
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\Verse\styles.css", "CSS", 45, 0, 0, 0, 10, 55
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\data\books.js", "JavaScript", 0, 68, 0, 0, 0, 68
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\data\sections.js", "JavaScript", 0, 112, 0, 0, 12, 124
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\data\testaments.js", "JavaScript", 0, 77, 0, 0, 5, 82
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\data\translations.js", "JavaScript", 0, 6, 0, 0, 0, 6
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\helpers\fillTableOfContents.js", "JavaScript", 0, 41, 0, 4, 7, 52
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\helpers\formFunctions.js", "JavaScript", 0, 44, 0, 6, 10, 60
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\helpers\index.js", "JavaScript", 0, 172, 0, 11, 41, 224
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\hooks\useFetchReference.js", "JavaScript", 0, 122, 0, 16, 50, 188
