"filename", "language", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\NotFound\styles.css", "CSS", 0, 38, 0, 1, 9, 48
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\ReaderChapterTitle\index.js", "JavaScript", 28, 0, 0, 2, 10, 40
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\ReaderChapterTitle\styles.css", "CSS", 0, 62, 0, 1, 15, 78
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\ReaderFormLight\index.js", "JavaScript", 133, 0, 0, 15, 43, 191
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\ReaderFormLight\styles.css", "CSS", 0, 69, 0, 1, 15, 85
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\ReaderForm\index.js", "JavaScript", 157, 0, 0, 15, 41, 213
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\ReaderForm\styles.css", "CSS", 0, 245, 0, 1, 36, 282
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\ReaderNavButtons\index.js", "JavaScript", 100, 0, 0, 3, 22, 125
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\ReaderNavButtons\styles.css", "CSS", 0, 95, 0, 1, 17, 113
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\ReaderText\index.js", "JavaScript", 84, 0, 0, 3, 30, 117
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\ReaderText\styles.css", "CSS", 0, 101, 0, 2, 31, 134
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\Reader\index.js", "JavaScript", 57, 0, 0, 3, 20, 80
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\Reader\styles.css", "CSS", 0, 101, 0, 3, 23, 127
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\ResearchFrame\index.js", "JavaScript", 85, 0, 0, 5, 26, 116
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\ResearchFrame\styles.css", "CSS", 0, 45, 0, 3, 12, 60
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\components\ResultPane\index.js", "JavaScript", 47, 0, 0, 2, 16, 65
